Job,Operation,SubcontractOp,IMachine,IExpUnitRunTim,IExpSetUpTime,IExpStartupTime,IExpShutdownTim,IWaitTime,IWcRateInd,IStartupQty,ICapacityReqd,IMaxWorkOpertrs,IMaxProdUnits,ITimeTaken,IQuantity,MaxOpSpan,OpSlack,IStartupQtyEnt,IQuantityEnt,IExpUnitRunTimEnt,ITimeTakenEnt,SubSupplier,SupPoStkCode,SubQtyPer,SubOrderUom,SubUnitValue,SubWhatIfValue,SubPlanner,SubBuyer,SubLeadTime,SubDockToStock,SubOffsiteDays,SchStartDate,SchStartTime,SchEndDate,SchEndTime,OperationStatus,OpSplitFlag,MaxOpDelay,UnitValueReqd,RunTimeIssued,SetUpIssued,StartUpIssued,ShutdownIssued,ValueIssued,PiecesCompleted,ValueBilled,OperCompleted,QtyCompleted,QtyScrapped,LastScrapReason,PlannedQueueDate,PlannedStartDate,PlannedEndDate,ActualQueueDate,ActualStartDate,ActualFinishDate,AutoNarrCode,Narration,NonConformFlag,WorkCentre,WorkCentreDesc,ElapsedTime,MovementTime,UnitNumOfPieces,InspectionFlag,Milestone,MinorSetUp,MinorSetUpCode,ToolSet,ToolSetQty,ToolConsumption,QueueTime,MilestoneComp,CalcElapsedTime,HierHead1,HierHead2,HierHead3,HierHead4,HierHead5,CapacityIssued,Line,OpCompViaJob,TransferQtyOrPct,TransferQtyPct,ParentQtyPlanned,OperYieldPct,OperYieldQty,ParIssQty,HoursBilled,CoProductCostVal,QtyScrappedEnt,TransferQtyPctEnt,ParentQtyPlanEnt,OperYieldQtyEnt,ParIssQtyEnt,QtyCompletedEnt,ResourceMask,SchStartRunDate,SchStartRunTime,ScheduledMachine,AllowOpSplit,CreatedBy,ProductCode,LibraryCode,FirstSeq,SecondSeq,JobNest,TimeStamp,WipBranch,WipCtlGlCode,ProductionBin
142,3,N,DRIL01,0.2,1,0,0,0,1,0,320.4,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,11.4058,320.2,0.2,0,0,18260.8,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,D3, ,DRILL,Drilling,41,-1,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DE, , , 
142,4,N,MBWA01,0.5,1,0,0,0,1,0,800.5,1,1,0,0,0,0,0,0,0.5,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,28.5,800.5,0,0,0,45628.5,0,0,Y,1601,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A4, ,MBWA,Bicycle Wheel Assembly,101,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1601, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466DF, , , 
146,1,N,MBFA01,1,1,0,0,0,1,0,50.25,1,1,0,0,0,0,0,0,1,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,57.31,50,0.25,0,0,2865.5,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A1, ,MBFA,Bicycle Assembly,7,0,1,N,Y,0,    ,JIG01,0,0,1, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E0, , , 
146,2,N,MBQA01,2,1,0,0,0,1,0,100,1,1,0,0,0,0,0,0,2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,114,100,0,0,0,5700,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,13, , ,MBQA,Quality and Inspection,13,0,1,N,Y,0,    , ,0,0,1, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E1, , , 
146,3,N,MBCC01,0.25,1,0,0,0,1,0,12.75,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,14.56,12.5,0.25,0,0,728,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,W1, ,MBCC,Bicycle Cleaning Center,2,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E2, , , 
147,1,N,TLCC01,0.5,1,0,0,0,1,0,25,1,1,0,0,0,0,0,0,0.5,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,32,25,0,0,0,1600,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,C1, ,TLCC,Tube Laser Cutting Center,4,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E3, , , 
147,2,N,WELD01,0.3,1,0,0.25,3,1,0,15.75,1,1,0,0,0,0,0,0,0.3,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,17.96,15,0.5,0,0.25,898,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,S1, ,WELD,Welding,3,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E4, , , 
147,3,N,PAIN01,0.5,1,0,0,3,1,0,25.6,1,3,0,0,0,0,0,0,0.5,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,29.244,25,0.6,0,0,1462.2,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,S2, ,PAINT,Spray Painting,2,0,1,N,Y,0,    , ,0,0,2, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E5, , , 
148,1,N,MBFA01,1,1,0,0,1,1,0,50,1,1,0,0,0,0,0,0,1,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,57,50,0,0,0,2850,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A2, ,MBFA,Bicycle Assembly,7,0,1,N,Y,0,    ,JIG01,0,0,1, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E6, , , 
149,1,N,DRIL01,0.25,1,0,0,0,1,0,12.6,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,14.344,12.5,0.1,0,0,717.2,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,D2, ,DRILL,Drilling,2,0,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E7, , , 
149,2,N,MBWA01,0.2,1,0,0,0,1,0,10,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,11.4,10,0,0,0,570,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A3, ,MBWA,Bicycle Wheel Assembly,2,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E8, , , 
149,3,N,DRIL01,0.2,1,0,0,0,1,0,10.2,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,11.588,10,0.2,0,0,579.4,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,D3, ,DRILL,Drilling,2,-1,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466E9, , , 
149,4,N,MBWA01,0.5,1,0,0,0,1,0,25,1,1,0,0,0,0,0,0,0.5,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,28.5,25,0,0,0,1425,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A4, ,MBWA,Bicycle Wheel Assembly,4,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466EA, , , 
150,1,N,DRIL01,0.25,1,0,0,0,1,0,12.6,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,14.344,12.5,0.1,0,0,717.2,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,D2, ,DRILL,Drilling,2,0,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466EB, , , 
150,2,N,MBWA01,0.2,1,0,0,0,1,0,10,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,11.4,10,0,0,0,570,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A3, ,MBWA,Bicycle Wheel Assembly,2,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466EC, , , 
150,3,N,DRIL01,0.2,1,0,0,0,1,0,10.2,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,11.588,10,0.2,0,0,579.4,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,D3, ,DRILL,Drilling,2,-1,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466ED, , , 
150,4,N,MBWA01,0.5,1,0,0,0,1,0,25,1,1,0,0,0,0,0,0,0.5,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,28.5,25,0,0,0,1425,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,A4, ,MBWA,Bicycle Wheel Assembly,4,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466EE, , , 
151,1,N,MBBA01,0.25,1,0,0,0,1,0,12.5,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,14.25,12.5,0,0,0,712.5,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0, , ,MBBA,Bicycle Brake Assembly,2,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466EF, , , 
151,2,N,MBBA01,0.3,1,0,0,0,1,0,15,1,1,0,0,0,0,0,0,0.3,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,17.1,15,0,0,0,855,0,0,Y,50,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,F1, ,MBBA,Bicycle Brake Assembly,2,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,50, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F0, , , 
152,1,N,MBBA01,0.25,1,0,0,0,1,0,0.25,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,14.25,0.25,0,0,0,14.25,0,0,Y,1,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0, , ,MBBA,Bicycle Brake Assembly,1,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F1, , , 
152,2,N,MBBA01,0.3,1,0,0,0,1,0,0.3,1,1,0,0,0,0,0,0,0.3,0, , ,0, ,0,0, , ,0,0,0,NULL,0,NULL,0, , ,0,17.1,0.3,0,0,0,17.1,0,0,Y,1,0, ,00:00.0,00:00.0,00:00.0,NULL,00:00.0,00:00.0,0,F1, ,MBBA,Bicycle Brake Assembly,1,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,0,0,0,0,0, ,0,0,0,0,0,1, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F2, , , 
154,1,N,MBFA01,1,1,0,0,1,1,0,100,1,1,0,0,0,0,0,0,1,0, , ,0, ,0,0, , ,0,0,0,00:00.0,0,00:00.0,0, , ,0,57,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,A2, ,MBFA,Bicycle Assembly,13,0,1,N,Y,0,    ,JIG01,0,0,1, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F3, , , 
155,1,N,DRIL01,0.25,1,0,0,0,1,0,25.1,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,00:00.0,724,00:00.0,2124, , ,0,14.297,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,D2, ,DRILL,Drilling,4,0,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F4, , , 
155,2,N,MBWA01,0.2,1,0,0,0,1,0,20,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,00:00.0,0,00:00.0,0, , ,0,11.4,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,A3, ,MBWA,Bicycle Wheel Assembly,3,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F5, , , 
155,3,N,DRIL01,0.2,1,0,0,0,1,0,20.2,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,00:00.0,430,00:00.0,1030, , ,0,11.494,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,D3, ,DRILL,Drilling,3,-1,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F6, , , 
155,4,N,MBWA01,0.5,1,0,0,0,1,0,50,1,1,0,0,0,0,0,0,0.5,0, , ,0, ,0,0, , ,0,0,0,00:00.0,0,00:00.0,0, , ,0,28.5,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,A4, ,MBWA,Bicycle Wheel Assembly,7,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F7, , , 
156,1,N,DRIL01,0.25,1,0,0,0,1,0,25.1,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,00:00.0,900,00:00.0,500, , ,0,14.297,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,D2, ,DRILL,Drilling,4,0,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F8, , , 
156,2,N,MBWA01,0.2,1,0,0,0,1,0,20,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,00:00.0,0,00:00.0,0, , ,0,11.4,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,A3, ,MBWA,Bicycle Wheel Assembly,3,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466F9, , , 
156,3,N,DRIL01,0.2,1,0,0,0,1,0,20.2,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,00:00.0,500,00:00.0,1100, , ,0,11.494,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,D3, ,DRILL,Drilling,3,-1,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466FA, , , 
156,4,N,MBWA01,0.5,1,0,0,0,1,0,50,1,1,0,0,0,0,0,0,0.5,0, , ,0, ,0,0, , ,0,0,0,00:00.0,0,00:00.0,0, , ,0,28.5,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,A4, ,MBWA,Bicycle Wheel Assembly,7,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,100,0,0,0,0, ,0,0,100,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466FB, , , 
157,1,N,MBFA01,1,1,0,0,1,1,0,250,1,1,0,0,0,0,0,0,1,0, , ,0, ,0,0, , ,0,0,0,00:00.0,1000,00:00.0,700, , ,0,57,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,A2, ,MBFA,Bicycle Assembly,32,0,1,N,Y,0,    ,JIG01,0,0,1, ,Y, , , , , ,0,0, , ,0,250,0,0,0,0, ,0,0,250,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466FC, , , 
158,1,N,DRIL01,0.25,1,0,0,0,1,0,62.6,1,1,0,0,0,0,0,0,0.25,0, , ,0, ,0,0, , ,0,0,0,00:00.0,1000,00:00.0,1430, , ,0,14.2688,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,D2, ,DRILL,Drilling,8,0,1,N,Y,0,    , ,0,0,3, ,Y, , , , , ,0,0, , ,0,250,0,0,0,0, ,0,0,250,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466FD, , , 
158,2,N,MBWA01,0.2,1,0,0,0,1,0,50,1,1,0,0,0,0,0,0,0.2,0, , ,0, ,0,0, , ,0,0,0,00:00.0,0,00:00.0,0, , ,0,11.4,0,0,0,0,0,0,0,N,0,0, ,00:00.0,00:00.0,00:00.0,NULL,NULL,NULL,0,A3, ,MBWA,Bicycle Wheel Assembly,7,0,1,N,Y,0,    , ,0,0,0, ,Y, , , , , ,0,0, , ,0,250,0,0,0,0, ,0,0,250,0,0,0, ,NULL,0, , , , ,     ,0,0, ,0x00000000003466FE, , , 
